title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Raquette de padel Adidas Drive Light 3.5 2026,Adidas,Raquettes,79.9,11318,2025-10-23 12:05:29+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Adidas Drive Noir 3.5 2026,Adidas,Raquettes,79.9,11317,2025-10-23 10:20:01+00:00,forme,mousse,,,,noir,,,,
Raquette de padel Adidas Drive Bleu 3.5 2026,Adidas,Raquettes,79.9,11315,2025-10-23 09:27:03+00:00,forme,mousse,,,,bleu,,,,
Raquette de padel Adidas RX Series Light 2026,Adidas,Raquettes,119.9,11312,2025-10-23 09:00:36+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Adidas RX Series 2026,Adidas,Raquettes,119.9,11311,2025-10-23 08:51:01+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Adidas Cross It Team Light 3.5 2026,Adidas,Raquettes,179.9,11310,2025-10-23 08:44:05+00:00,forme,mousse,,,,,,,,weight
Raquette de padel Adidas Cross It Carbon Control 3.5 2026,Adidas,Raquettes,279.9,11309,2025-10-23 08:28:01+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Adidas Metalbone Team Light 3.5 2026,Adidas,Raquettes,199.9,11308,2025-10-23 08:17:04+00:00,forme,mousse,,,,,,,,weight
Raquette de padel Adidas Metalbone Carbon Control 3.5 2026,Adidas,Raquettes,249.9,11307,2025-10-23 08:12:50+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Adidas Cross It Carbon 3.5 2026,Adidas,Raquettes,279.9,11305,2025-10-23 07:44:28+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Adidas Cross It Light 3.5 2026,Adidas,Raquettes,299.9,11306,2025-10-23 07:44:02+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Adidas Arrow Hit Junior Rose,Adidas,Raquettes,74.9,11303,2025-10-23 07:38:13+00:00,forme,mousse,,,,bleu,,,,poids
Raquette de padel Adidas Cross It Control 3.5 2026,Adidas,Raquettes,349.9,11304,2025-10-23 07:32:09+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Adidas Arrow Hit Junior Bleu 2026,Adidas,Raquettes,74.9,11302,2025-10-23 06:02:25+00:00,forme,mousse,,,,bleu,,,,poids
Raquette de padel Adidas Cross It Team Control 3.5 2026,Adidas,Raquettes,179.9,11299,2025-10-22 13:58:44+00:00,forme,mousse,,,,,,,,
Raquette de padel Adidas Metalbone Superlight 3.5 2026,Adidas,Raquettes,149.9,11288,2025-10-22 09:35:47+00:00,forme,mousse,,,,,,,,weight
Raquette de padel Adidas Metalbone Team 3.5 2026,Adidas,Raquettes,199.9,11287,2025-10-22 09:33:14+00:00,forme,mousse,,,,,,,,
Raquette de padel Adidas Metalbone Carbon 3.5 2026,Adidas,Raquettes,249.9,11286,2025-10-22 09:30:30+00:00,forme,mousse,,carbone,,rouge,,,,
Raquette de padel Adidas Metalbone Control 3.5 2026,Adidas,Raquettes,369.9,11284,2025-10-22 08:34:52+00:00,forme,mousse,,carbone,,noir,,balance,,weight
Raquette de padel Adidas Metalbone HRD+ 3.5 2026,Adidas,Raquettes,369.9,11282,2025-10-22 08:31:14+00:00,forme,mousse,,carbone,,,,balance,,weight
Raquette de padel Adidas Metalbone 3.5 2026,Adidas,Raquettes,369.9,11280,2025-10-22 08:22:05+00:00,forme,mousse,,carbone,,,,balance,,weight
Raquette de padel Nox VK10 By Aranzazu Osoro 2024,Nox,Raquettes,199.9,6673,2024-02-02 10:01:38+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Nox Elite FR Exclusive 2025,Nox,Raquettes,129.9,9861,2025-04-03 14:16:56+00:00,forme,mousse,,,,,,,,
Raquette de padel Siux Electra ST4 Elite 2025,Siux,Raquettes,169.9,9147,2025-02-04 10:41:45+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Bullpadel Ionic Light 2026,Bullpadel,Raquettes,149.9,11216,2025-10-14 12:40:52+00:00,forme,mousse,,carbone,,white,,,,poids
Raquette de padel Bullpadel Ionic Control 2026,Bullpadel,Raquettes,179.9,11215,2025-10-14 12:40:50+00:00,forme,mousse,,carbone,,white,,,,
Raquette de padel Bullpadel Ionic Power 2026,Bullpadel,Raquettes,179.9,11214,2025-10-14 12:40:48+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Hero Pro Power X Ducati,Macron,Raquettes,378.9,11606,2025-11-14 15:28:23+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Macron x Ducati Hero Pro Control,Macron,Raquettes,378.9,11607,2025-11-14 15:22:42+00:00,forme,mousse,,carbone,sablée,rouge,,,,
Raquette de padel Macron Tridens Stealth ll,Macron,Raquettes,344.9,11605,2025-11-14 15:00:57+00:00,,mousse,,carbone,,,,,,
Raquette de padel Macron Poseidon ll,Macron,Raquettes,248.9,11604,2025-11-14 14:11:14+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Leonidas Light Powder,Macron,Raquettes,168.9,11603,2025-11-14 11:03:40+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Macron Leonidas Gold,Macron,Raquettes,168.9,11602,2025-11-14 10:47:19+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Poseidon Shadow ll,Macron,Raquettes,244.9,11601,2025-11-14 10:37:20+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Tridens Stealth Pro,Macron,Raquettes,338.9,11600,2025-11-14 10:21:13+00:00,forme,mousse,,carbone,sablée,noir,,,,
Raquette de padel Macron Ares Pro,Macron,Raquettes,288.9,11598,2025-11-14 09:26:38+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Macron Leonidas Light,Macron,Raquettes,168.9,11597,2025-11-14 09:01:00+00:00,forme,mousse,,carbone,,bleu,,,,weight
Raquette de padel Macron Leonidas,Macron,Raquettes,168.9,11596,2025-11-14 08:36:56+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Poseidon Premium,Macron,Raquettes,244.9,11595,2025-11-13 15:49:40+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Tridens Pro,Macron,Raquettes,344.9,11594,2025-11-13 15:43:02+00:00,forme,mousse,,carbone,sablée,noir,,,,poids
Raquette de padel Macron Next Gen l Junior,Macron,Raquettes,98.9,11805,2025-11-13 08:56:52+00:00,forme,mousse,,,,noir,,,,weight
Raquette de padel Macron Aspire Control l,Macron,Raquettes,248.9,11804,2025-11-13 08:40:56+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Macron Elite Control l,Macron,Raquettes,298.9,11803,2025-11-13 08:05:32+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Hero Pro Control l,Macron,Raquettes,348.9,11802,2025-11-12 16:06:21+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Aspire Power l,Macron,Raquettes,248.9,11801,2025-11-12 15:33:59+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Elite Power l,Macron,Raquettes,298.9,11800,2025-11-12 14:48:55+00:00,forme,mousse,,carbone,,noir,attaque,,,
Raquette de padel Macron Hero Pro Power l,Macron,Raquettes,348.9,11575,2025-11-12 13:53:07+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Nox X-Hero Bleu 2026,Nox,Raquettes,64.9,11806,2025-11-19 09:04:31+00:00,forme,mousse,,carbone,,bleu,,,,poids
Raquette de padel Nox X-Zero Bleu 2026,Nox,Raquettes,64.9,11809,2025-11-19 10:07:43+00:00,forme,mousse,,carbone,,bleu,,,,poids
Raquette de padel Nox X-Zero Rouge 2026,Nox,Raquettes,64.9,11808,2025-11-19 10:04:06+00:00,forme,mousse,,carbone,,rouge,,,,poids
Raquette de padel Nox X-Hero Rouge 2026,Nox,Raquettes,64.9,11807,2025-11-19 09:12:35+00:00,forme,mousse,,carbone,,rouge,,,,poids
